Rk,,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO
1,Tampa Bay Lightning,28.3,29,21,6,2,44,.759,105,68,1,1,1.13,-0.15,3.62,2.34,28,97,28.87,16,99,83.84,2,2,10.2,10.6,896,11.7,799,.915,3
2,Washington Capitals,30.4,30,20,6,4,44,.733,103,87,2,2,0.39,-0.14,3.43,2.90,20,74,27.03,18,92,80.43,1,3,7.8,7.5,838,12.3,886,.902,1
3,Vegas Golden Knights,29.1,28,21,6,1,43,.768,94,62,0,1,0.95,-0.16,3.36,2.21,16,87,18.39,11,73,84.93,1,1,7.4,7.9,858,11.0,773,.920,4
4,Carolina Hurricanes,27.1,29,20,7,2,42,.724,95,75,4,0,0.76,-0.07,3.28,2.59,30,94,31.91,18,100,82.00,3,1,7.5,7.1,912,10.4,841,.911,3
5,New York Islanders,29.0,31,19,8,4,42,.677,88,70,2,1,0.43,-0.18,2.84,2.26,17,85,20.00,14,76,81.58,2,0,6.9,6.7,922,9.5,851,.918,5
6,Florida Panthers,28.2,29,19,6,4,42,.724,99,81,1,2,0.43,-0.16,3.41,2.79,23,88,26.14,17,87,80.46,1,2,8.2,8.2,995,9.9,896,.910,0
7,Edmonton Oilers,28.4,33,20,13,0,40,.606,112,95,0,0,0.41,-0.10,3.39,2.88,30,108,27.78,23,97,76.29,2,2,8.8,9.0,1027,10.9,1023,.907,2
8,Toronto Maple Leafs,28.9,31,19,10,2,40,.645,105,83,0,0,0.60,-0.11,3.39,2.68,26,90,28.89,22,89,75.28,1,2,8.2,8.0,946,11.1,877,.905,2
9,Colorado Avalanche,26.9,28,18,8,2,38,.679,91,65,0,0,0.85,-0.08,3.25,2.32,24,102,23.53,11,85,87.06,1,2,7.6,8.8,978,9.3,692,.906,4
10,Winnipeg Jets,28.1,30,18,10,2,38,.633,98,86,0,1,0.32,-0.05,3.27,2.87,22,86,25.58,16,72,77.78,1,1,6.7,8.0,886,11.1,944,.909,1
11,Minnesota Wild,28.9,28,18,9,1,37,.661,87,69,0,0,0.68,0.03,3.11,2.46,8,90,8.89,14,96,85.42,2,0,9.0,8.8,844,10.3,831,.917,3
12,Pittsburgh Penguins,28.1,30,18,11,1,37,.617,93,85,3,0,0.51,0.14,3.10,2.83,16,86,18.60,23,89,74.16,3,2,7.4,7.5,882,10.5,895,.905,1
13,Boston Bruins,28.8,28,16,8,4,36,.643,75,64,2,2,0.47,0.07,2.68,2.29,21,84,25.00,10,94,89.36,5,4,10.7,9.7,885,8.5,750,.915,2
14,St. Louis Blues,28.3,30,15,10,5,35,.583,89,95,2,2,-0.40,-0.20,2.97,3.17,17,89,19.10,26,101,74.26,3,0,8.4,7.8,890,10.0,890,.893,0
